error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	MIN	423182	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889438	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423182
STATE	100	MIN	423183	McDonald, T.	North Carolina	Swain	0.04	outside_boundary_exact	Tennessee, Sevier County	35.56388889,-83.49777778	889439	Clingmans Dome Overlook; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423183
STATE	100	DUKE	1348003	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	298564	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1348003
STATE	100	DUKE	1355317	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	304445	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1355317
STATE	100	DUKE	1839142	Imshaug, Henry, A.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	227051	Newfound Gap. On the Sevier County, Tennessee, line	https://lichenportal.org/portal/collections/individual/index.php?occid=1839142
STATE	100	DUKE	1840388	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	226156	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1840388
STATE	100	DUKE	1850140	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	185812	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1850140
STATE	100	DUKE	1854856	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	157684	Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1854856
STATE	100	DUKE	1862630	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	304564	Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1862630
STATE	100	DUKE	1864217	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	309045	Newfound Gap. Second boulder slope on road below Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1864217
STATE	100	DUKE	1865469	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	226485	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1865469
STATE	100	DUKE	1867920	LaGreca, Scott, A.; McAvoy, Matt	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	132155	Great Smoky Mountains National Park, Newfound Gap Road, next to post 16	https://lichenportal.org/portal/collections/individual/index.php?occid=1867920
STATE	100	DUKE	1879862	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	299963	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1879862
STATE	100	DUKE	1884617	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	155307	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1884617
STATE	100	DUKE	1884899	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	318404	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1884899
STATE	100	DUKE	2425614	Schofield, Wilfred, B.; Robinson, Harold, E.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.61121,-83.42488	337413	Near Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=2425614
STATE	100	DUKE	5686277	Dey, Jonathan P.	North Carolina	Swain Co.	0.03	outside_boundary_exact	Tennessee, Sevier County	35.56315,-83.49877	368387	Great Smoky Mountains National Park, Clingmans Dome, along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=5686277
